GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
620L200US36031,36031,"Assembly District 31 (2010), New York",131083,100.0,122851,93.7,16661,12.7,77891,59.4,1258,1.0,299,0.2,1,0.0,0,0.0,958,0.7,10198,7.8,138,0.1,16705,12.7,8232,6.3,4214,3.2,3334,2.5,365,0.3,319,0.2,131083,100.0,28089,21.4,1045,0.8,9057,6.9,513,0.4,17474,13.3,102994,78.6,131083,100.0,122851,93.7,25653,19.6,97198,74.1,8232,6.3,2436,1.9,5796,4.4
620L200US36032,36032,"Assembly District 32 (2010), New York",125758,100.0,118587,94.3,9449,7.5,79633,63.3,1548,1.2,343,0.3,0,0.0,0,0.0,1205,1.0,12037,9.6,182,0.1,15738,12.5,7171,5.7,3760,3.0,2792,2.2,319,0.3,300,0.2,125758,100.0,24720,19.7,1897,1.5,4742,3.8,323,0.3,17758,14.1,101038,80.3,125758,100.0,118587,94.3,22589,18.0,95998,76.3,7171,5.7,2131,1.7,5040,4.0
620L200US36033,36033,"Assembly District 33 (2010), New York",115034,100.0,109711,95.4,14422,12.5,72174,62.7,615,0.5,170,0.1,5,0.0,0,0.0,440,0.4,14518,12.6,100,0.1,7882,6.9,5323,4.6,2418,2.1,2477,2.2,197,0.2,231,0.2,115034,100.0,15064,13.1,579,0.5,3852,3.3,476,0.4,10157,8.8,99970,86.9,115034,100.0,109711,95.4,13700,11.9,96011,83.5,5323,4.6,1364,1.2,3959,3.4
620L200US36034,36034,"Assembly District 34 (2010), New York",121976,100.0,115775,94.9,48142,39.5,3453,2.8,1078,0.9,402,0.3,1,0.0,0,0.0,675,0.6,34383,28.2,49,0.0,28670,23.5,6201,5.1,4043,3.3,1901,1.6,144,0.1,113,0.1,121976,100.0,64987,53.3,13900,11.4,3387,2.8,1117,0.9,46583,38.2,56989,46.7,121976,100.0,115775,94.9,60771,49.8,55004,45.1,6201,5.1,4216,3.5,1985,1.6
620L200US36035,36035,"Assembly District 35 (2010), New York",130758,100.0,124317,95.1,39208,30.0,18170,13.9,1228,0.9,398,0.3,0,0.0,0,0.0,830,0.6,37232,28.5,75,0.1,28404,21.7,6441,4.9,4005,3.1,2091,1.6,195,0.1,150,0.1,130758,100.0,60629,46.4,13434,10.3,3720,2.8,766,0.6,42709,32.7,70129,53.6,130758,100.0,124317,95.1,56441,43.2,67876,51.9,6441,4.9,4188,3.2,2253,1.7
620L200US36036,36036,"Assembly District 36 (2010), New York",111188,100.0,107190,96.4,77819,70.0,2614,2.4,515,0.5,154,0.1,2,0.0,0,0.0,359,0.3,15574,14.0,43,0.0,10625,9.6,3998,3.6,1808,1.6,1949,1.8,94,0.1,147,0.1,111188,100.0,25087,22.6,6125,5.5,3681,3.3,832,0.7,14449,13.0,86101,77.4,111188,100.0,107190,96.4,23346,21.0,83844,75.4,3998,3.6,1741,1.6,2257,2.0
620L200US36037,36037,"Assembly District 37 (2010), New York",124254,100.0,118521,95.4,61682,49.6,13122,10.6,1010,0.8,373,0.3,1,0.0,0,0.0,636,0.5,19255,15.5,98,0.1,23354,18.8,5733,4.6,3201,2.6,2189,1.8,159,0.1,184,0.1,124254,100.0,51467,41.4,8479,6.8,12521,10.1,670,0.5,29797,24.0,72787,58.6,124254,100.0,118521,95.4,47864,38.5,70657,56.9,5733,4.6,3603,2.9,2130,1.7
620L200US36038,36038,"Assembly District 38 (2010), New York",126330,100.0,117370,92.9,59157,46.8,9987,7.9,1636,1.3,369,0.3,1,0.0,0,0.0,1266,1.0,18577,14.7,132,0.1,27881,22.1,8960,7.1,4989,3.9,3343,2.6,347,0.3,281,0.2,126330,100.0,54702,43.3,4927,3.9,16063,12.7,502,0.4,33210,26.3,71628,56.7,126330,100.0,117370,92.9,50729,40.2,66641,52.8,8960,7.1,3973,3.1,4987,3.9
620L200US36039,36039,"Assembly District 39 (2010), New York",127257,100.0,119888,94.2,42528,33.4,4304,3.4,1612,1.3,637,0.5,2,0.0,0,0.0,973,0.8,27906,21.9,49,0.0,43489,34.2,7369,5.8,5381,4.2,1678,1.3,208,0.2,102,0.1,127257,100.0,86883,68.3,25639,20.1,2205,1.7,795,0.6,58244,45.8,40374,31.7,127257,100.0,119888,94.2,80880,63.6,39008,30.7,7369,5.8,6003,4.7,1366,1.1
620L200US36040,36040,"Assembly District 40 (2010), New York",127591,100.0,123618,96.9,12695,9.9,96018,75.3,920,0.7,260,0.2,0,0.0,0,0.0,660,0.5,2652,2.1,66,0.1,11267,8.8,3973,3.1,2045,1.6,1618,1.3,124,0.1,186,0.1,127591,100.0,28777,22.6,800,0.6,13441,10.5,467,0.4,14069,11.0,98814,77.4,127591,100.0,123618,96.9,26436,20.7,97182,76.2,3973,3.1,2341,1.8,1632,1.3
